Date ,Day,Months ,Quarter ,Years,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUMES,No of trades,
9-Aug-24,Friday,August,Q3,2024,EQ,3209.00,3219.30,3171.05,3167.55,3186.50,3187.55,3193.28,3743.90,2142.00,760165.00,43358.00,
8-Aug-24,Thursday,August,Q3,2024,EQ,3190.55,3242.65,3156.55,3185.95,3172.55,3167.55,3194.74,3743.90,2142.00,2139376.00,107274,
7-Aug-24,Wednesday,August,Q3,2024,EQ,3118.00,3190.00,3112.00,3072.70,3186.45,3185.95,3163.01,3743.90,2142.00,1868169.00,74727,
6-Aug-24,Tuesday,August,Q3,2024,EQ,3084.00,3142.80,3057.25,3038.20,3078.25,3072.70,3108.00,3743.90,2142.00,2125201.00,124189,
5-Aug-24,Monday,August,Q3,2024,EQ,3085.00,3133.05,2996.30,3160.90,3024.00,3038.20,3062.45,3743.90,2142.00,2238921.00,139819,
2-Aug-24,Friday,August,Q3,2024,EQ,3200.00,3215.00,3111.00,3217.25,3161.40,3160.90,3174.06,3743.90,2142.00,3360209.00,149926,
1-Aug-24,Thursday,August,Q3,2024,EQ,3180.00,3258.00,3151.70,3169.40,3225.10,3217.25,3212.46,3743.90,2142.00,6149883.00,234840,
31-Jul-24,Wednesday,July,Q3,2024,EQ,3141.00,3197.50,3135.00,3128.75,3168.00,3169.40,3171.25,3743.90,2142.00,2414005.00,113298,
30-Jul-24,Tuesday,July,Q3,2024,EQ,3092.00,3155.00,3066.65,3089.35,3133.00,3128.75,3120.89,3743.90,2142.00,1647048.00,98232,
29-Jul-24,Monday,July,Q3,2024,EQ,3094.30,3120.35,3074.00,3080.50,3088.40,3089.35,3097.85,3743.90,2142.00,1037474.00,68832,
26-Jul-24,Friday,July,Q3,2024,EQ,2995.00,3109.00,2988.10,2973.50,3072.25,3080.50,3066.52,3743.90,2142.00,1942427.00,111808,
25-Jul-24,Thursday,July,Q3,2024,EQ,2960.70,3017.65,2945.10,2970.70,2995.00,2973.50,2980.02,3743.90,2142.00,1105721.00,75405,
24-Jul-24,Wednesday,July,Q3,2024,EQ,2995.35,3007.50,2959.30,2995.35,2968.80,2970.70,2980.98,3743.90,2142.00,693702.00,54185,
23-Jul-24,Tuesday,July,Q3,2024,EQ,3020.00,3038.00,2886.35,3000.85,2999.40,2995.35,2989.95,3743.90,2142.00,1443331.00,103491,
22-Jul-24,Monday,July,Q3,2024,EQ,3005.70,3026.90,2972.15,3005.70,3000.00,3000.85,3002.66,3743.90,2142.00,662085.00,50675,
19-Jul-24,Friday,July,Q3,2024,EQ,3092.00,3094.50,3000.00,3092.20,3007.95,3005.70,3033.24,3743.90,2142.00,1026941.00,68966,
18-Jul-24,Thursday,July,Q3,2024,EQ,3106.00,3111.00,3057.15,3109.30,3090.00,3092.20,3083.68,3743.90,2142.00,1021653.00,80772,
16-Jul-24,Tuesday,July,Q3,2024,EQ,3110.00,3137.75,3096.10,3090.40,3106.50,3109.30,3115.88,3743.90,2142.00,988357.00,60074,
15-Jul-24,Monday,July,Q3,2024,EQ,3066.10,3103.50,3058.35,3065.45,3091.00,3090.40,3081.16,3743.90,2142.00,724174.00,44784,
12-Jul-24,Friday,July,Q3,2024,EQ,3090.00,3098.80,3058.35,3078.30,3066.00,3065.45,3075.05,3743.90,2142.00,756036.00,51794,
11-Jul-24,Thursday,July,Q3,2024,EQ,3118.70,3129.80,3074.10,3096.00,3087.00,3078.30,3097.76,3743.90,2142.00,899781.00,85332,
10-Jul-24,,July,Q3,2024,EQ,3120.10,3127.25,3063.40,3110.75,3093.90,3096.00,3097.88,3743.90,2142.00,586710.00,44240,
